left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0001530	exposure to thallium	http://purl.obolibrary.org/obo/MRE_0000123	Exposure to thallium	label	label	exposure to thallium	Exposure to thallium	100.0	1.0	0.3333333333333333	0	0.7346189164370982	3
http://purl.obolibrary.org/obo/ECTO_0001531	exposure to uranium	http://purl.obolibrary.org/obo/MRE_0000126	Exposure to uranium	label	label	exposure to uranium	Exposure to uranium	100.0	0.3333333333333333	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001532	exposure to fluorene	http://purl.obolibrary.org/obo/MRE_0000131	Exposure to fluorene	label	label	exposure to fluorene	Exposure to fluorene	100.0	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001533	exposure to 1,1,1-trichloroethane	http://purl.obolibrary.org/obo/MRE_0000132	Exposure to 1,1,1-trichloroethane	label	label	exposure to 1,1,1-trichloroethane	Exposure to 1,1,1-trichloroethane	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001534	exposure to 1,1,2,2-tetrachloroethane	http://purl.obolibrary.org/obo/MRE_0000133	Exposure to 1,1,2,2-tetrachloroethane	label	label	exposure to 1,1,2,2-tetrachloroethane	Exposure to 1,1,2,2-tetrachloroethane	88.88888888888889	0.6666666666666666	0.6666666666666666	0	0.5805515239477504	3
http://purl.obolibrary.org/obo/ECTO_0001535	exposure to 1,1,2-trichloroethane	http://purl.obolibrary.org/obo/MRE_0000134	Exposure to 1,1,2-trichloroethane	label	label	exposure to 1,1,2-trichloroethane	Exposure to 1,1,2-trichloroethane	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001536	exposure to 1,1-Dichloroethane	http://purl.obolibrary.org/obo/MRE_0000135	Exposure to 1,1-dichloroethane	label	label	exposure to 1,1-Dichloroethane	Exposure to 1,1-dichloroethane	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001537	exposure to 1,1-dichloroethene	http://purl.obolibrary.org/obo/MRE_0000136	Exposure to 1,1-dichloroethene	label	label	exposure to 1,1-dichloroethene	Exposure to 1,1-dichloroethene	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001538	exposure to 1,2-Dibromo-3-chloropropane	http://purl.obolibrary.org/obo/MRE_0000137	Exposure to 1,2-dibromo-3-chloropropane	label	label	exposure to 1,2-Dibromo-3-chloropropane	Exposure to 1,2-dibromo-3-chloropropane	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001539	exposure to 1,2-dichlorobenzene	http://purl.obolibrary.org/obo/MRE_0000138	Exposure to 1,2-dichlorobenzene	label	label	exposure to 1,2-dichlorobenzene	Exposure to 1,2-dichlorobenzene	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001541	exposure to cis-1,2-dichloroethene	http://purl.obolibrary.org/obo/MRE_0000140	Exposure to cis-1,2-dichloroethene	label	label	exposure to cis-1,2-dichloroethene	Exposure to cis-1,2-dichloroethene	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001542	exposure to trans-1,2-dichloroethene	http://purl.obolibrary.org/obo/MRE_0000141	Exposure to trans-1,2-dichloroethene	label	label	exposure to trans-1,2-dichloroethene	Exposure to trans-1,2-dichloroethene	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001543	exposure to 1,2-Dichloropropane	http://purl.obolibrary.org/obo/MRE_0000142	Exposure to 1,2-dichloropropane	label	label	exposure to 1,2-Dichloropropane	Exposure to 1,2-dichloropropane	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001544	exposure to 2,5-Dimethylfuran	http://purl.obolibrary.org/obo/MRE_0000145	Exposure to 2,5-dimethylfuran	label	label	exposure to 2,5-Dimethylfuran	Exposure to 2,5-dimethylfuran	100.0	1.0	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001545	exposure to dibromomethane	http://purl.obolibrary.org/obo/MRE_0000148	Exposure to dibromomethane	label	label	exposure to dibromomethane	Exposure to dibromomethane	100.0	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001546	exposure to hexachloroethane	http://purl.obolibrary.org/obo/MRE_0000151	Exposure to hexachloroethane	label	label	exposure to hexachloroethane	Exposure to hexachloroethane	88.88888888888889	0.6666666666666666	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001547	exposure to 2,2',4,4'-Tetrabromodiphenyl ether	http://purl.obolibrary.org/obo/MRE_0000163	Exposure to 2,2',4,4'-tetrabromodiphenyl ether	label	label	exposure to 2,2',4,4'-Tetrabromodiphenyl ether	Exposure to 2,2',4,4'-tetrabromodiphenyl ether	100.0	1.0	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001548	exposure to 2,2',4,4',5-Pentabromodiphenyl ether	http://purl.obolibrary.org/obo/MRE_0000166	Exposure to 2,2',4,4',5-pentabromodiphenyl ether	label	label	exposure to 2,2',4,4',5-Pentabromodiphenyl ether	Exposure to 2,2',4,4',5-pentabromodiphenyl ether	100.0	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001549	exposure to 2,2',4,4',5,5'-Hexabromodiphenyl ether	http://purl.obolibrary.org/obo/MRE_0000168	Exposure to 2,2',4,4',5,5'-hexabromodiphenyl ether	label	label	exposure to 2,2',4,4',5,5'-Hexabromodiphenyl ether	Exposure to 2,2',4,4',5,5'-hexabromodiphenyl ether	100.0	1.0	0.6666666666666666	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001550	exposure to 2,2',4,4',5,6'-Hexabromodiphenyl ether	http://purl.obolibrary.org/obo/MRE_0000169	Exposure to 2,2',4,4',5,6'-hexabromodiphenyl ether	label	label	exposure to 2,2',4,4',5,6'-Hexabromodiphenyl ether	Exposure to 2,2',4,4',5,6'-hexabromodiphenyl ether	100.0	1.0	0.6666666666666666	4	1.0	2
