ECTO:0000005 ! exposure to x-ray radiation	ZECO:0000215 ! x-ray	false	exact	label	xray
ECTO:0000005 ! exposure to x-ray radiation	EO:0007628 ! X-ray	false	label	label	xray
ECTO:0000005 ! exposure to x-ray radiation	GO:0010165 ! response to X-ray	false	label	exact	xray
ECTO:0000005 ! exposure to x-ray radiation	GO:0010165 ! response to X-ray	false	label	label	xray
ECTO:0000005 ! exposure to x-ray radiation	XCO:0000043 ! X-ray exposure	false	label	label	xray
ECTO:0000005 ! exposure to x-ray radiation	ZECO:0000215 ! x-ray	false	label	label	xray
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	true	exact	label	exposurradiatultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	true	exact	related	exposurradiatultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	XCO:0000042 ! ultraviolet ray exposure	true	exact	exact	exposurradiatultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	true	label	label	exposurradiatultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	true	label	related	exposurradiatultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	XCO:0000042 ! ultraviolet ray exposure	true	label	exact	exposurradiatultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	EO:0007222 ! UV light regimen	false	exact	exact	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	EO:0007222 ! UV light regimen	true	exact	exact	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	GO:0009411 ! response to UV	false	exact	exact	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	GO:0009411 ! response to UV	false	exact	label	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	false	exact	label	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	false	exact	related	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	XCO:0000042 ! ultraviolet ray exposure	false	exact	exact	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	ZECO:0000214 ! UV	false	exact	label	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	EO:0007222 ! UV light regimen	false	label	exact	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	EO:0007222 ! UV light regimen	true	label	exact	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	GO:0009411 ! response to UV	false	label	exact	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	GO:0009411 ! response to UV	false	label	label	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	false	label	label	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	false	label	related	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	XCO:0000042 ! ultraviolet ray exposure	false	label	exact	ultraviolet
